fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note,left_bar_idx,left_bar_ts_start,left_bar_ts_end,left_bar_high,left_bar_low,center_bar_ts_start,center_bar_ts_end,center_bar_high,center_bar_low,right_bar_idx,right_bar_ts_start,right_bar_ts_end,right_bar_high,right_bar_low
5,bottom,2026-03-04 00:00,22.31,23,22.89,22.31,True,confirmed,22,2026-03-03 00:00,2026-03-03 00:00,23.94,22.72,2026-03-04 00:00,2026-03-04 00:00,22.89,22.31,24,2026-03-05 00:00,2026-03-06 00:00,23.32,22.77
8,top,2026-03-13 00:00,24.38,28,24.38,23.52,True,confirmed,27,2026-03-11 00:00,2026-03-11 00:00,24.08,23.48,2026-03-12 00:00,2026-03-13 00:00,24.38,23.52,29,2026-03-16 00:00,2026-03-16 00:00,23.96,23.01
